['окно', 'сущ.', 'ср.р.', 'ед.ч.']
['холодный', 'прил.', 'м.р.', 'ед.ч.']
['дорога', 'сущ.', 'ж.р.', 'ед.ч.']
['прыгать', 'гл.', '—', '—']
['мост', 'сущ.', 'м.р.', 'ед.ч.']
['смелый', 'прил.', 'м.р.', 'ед.ч.']
['молоко', 'сущ.', 'ср.р.', 'ед.ч.']
['дышать', 'гл.', '—', '—']
['цветок', 'сущ.', 'м.р.', 'ед.ч.']
['жёлтый', 'прил.', 'м.р.', 'ед.ч.']
['шкаф', 'сущ.', 'м.р.', 'ед.ч.']
['понимать', 'гл.', '—', '—']
['погода', 'сущ.', 'ж.р.', 'ед.ч.']
['умный', 'прил.', 'м.р.', 'ед.ч.']
['утро', 'сущ.', 'ср.р.', 'ед.ч.']
['любить', 'гл.', '—', '—']
['письмо', 'сущ.', 'ср.р.', 'ед.ч.']
['красивый', 'прил.', 'м.р.', 'ед.ч.']
['пол', 'сущ.', 'м.р.', 'ед.ч.']
['голубой', 'прил.', 'м.р.', 'ед.ч.']
['кровать', 'сущ.', 'ж.р.', 'ед.ч.']
['петь', 'гл.', '—', '—']
['гора', 'сущ.', 'ж.р.', 'ед.ч.']
['сладкий', 'прил.', 'м.р.', 'ед.ч.']
['газета', 'сущ.', 'ж.р.', 'ед.ч.']
['двигаться', 'гл.', '—', '—']
['сахар', 'сущ.', 'м.р.', 'ед.ч.']
['короткий', 'прил.', 'м.р.', 'ед.ч.']
['завтрак', 'сущ.', 'м.р.', 'ед.ч.']
['ждать', 'гл.', '—', '—']
['вечер', 'сущ.', 'м.р.', 'ед.ч.']
['мудрый', 'прил.', 'м.р.', 'ед.ч.']
['ветер', 'сущ.', 'м.р.', 'ед.ч.']
['плакать', 'гл.', '—', '—']
['ключ', 'сущ.', 'м.р.', 'ед.ч.']
['узкий', 'прил.', 'м.р.', 'ед.ч.']
['праздник', 'сущ.', 'м.р.', 'ед.ч.']
['танцевать', 'гл.', '—', '—']
['лампа', 'сущ.', 'ж.р.', 'ед.ч.']
['поздний', 'прил.', 'м.р.', 'ед.ч.']
['камень', 'сущ.', 'м.р.', 'ед.ч.']
['смотреть', 'гл.', '—', '—']
['комната', 'сущ.', 'ж.р.', 'ед.ч.']
['глубокий', 'прил.', 'м.р.', 'ед.ч.']
['урок', 'сущ.', 'м.р.', 'ед.ч.']
['молчать', 'гл.', '—', '—']
['яйцо', 'сущ.', 'ср.р.', 'ед.ч.']
['радостный', 'прил.', 'м.р.', 'ед.ч.']
['лист', 'сущ.', 'м.р.', 'ед.ч.']
['покупать', 'гл.', '—', '—']
['улыбка', 'сущ.', 'ж.р.', 'ед.ч.']
['твёрдый', 'прил.', 'м.р.', 'ед.ч.']
['поезд', 'сущ.', 'м.р.', 'ед.ч.']
['рисовать', 'гл.', '—', '—']
['радость', 'сущ.', 'ж.р.', 'ед.ч.']
['ранний', 'прил.', 'м.р.', 'ед.ч.']
['корабль', 'сущ.', 'м.р.', 'ед.ч.']
['цвести', 'гл.', '—', '—']
['огурец', 'сущ.', 'м.р.', 'ед.ч.']
['последний', 'прил.', 'м.р.', 'ед.ч.']
['озеро', 'сущ.', 'ср.р.', 'ед.ч.']
['учить', 'гл.', '—', '—']
['полотенце', 'сущ.', 'ср.р.', 'ед.ч.']
['сухой', 'прил.', 'м.р.', 'ед.ч.']
['лекарство', 'сущ.', 'ср.р.', 'ед.ч.']
['ходить', 'гл.', '—', '—']
['телевизор', 'сущ.', 'м.р.', 'ед.ч.']
['яркий', 'прил.', 'м.р.', 'ед.ч.']
['земля', 'сущ.', 'ж.р.', 'ед.ч.']
['бояться', 'гл.', '—', '—']
['картина', 'сущ.', 'ж.р.', 'ед.ч.']
['пустой', 'прил.', 'м.р.', 'ед.ч.']
['магазин', 'сущ.', 'м.р.', 'ед.ч.']
['нырять', 'гл.', '—', '—']
['мясо', 'сущ.', 'ср.р.', 'ед.ч.']
['голодный', 'прил.', 'м.р.', 'ед.ч.']
['город', 'сущ.', 'м.р.', 'ед.ч.']
['тёмный', 'прил.', 'м.р.', 'ед.ч.']
